##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4_2C_mbnl_S4_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9265284
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.09404018268625	32.0	32.0	32.0	32.0	32.0
2	31.314725808728582	32.0	32.0	32.0	32.0	32.0
3	35.6170510261747	37.0	37.0	37.0	32.0	37.0
4	35.88196951113425	37.0	37.0	37.0	32.0	37.0
5	36.177842794673104	37.0	37.0	37.0	37.0	37.0
6	39.38356320216412	41.0	41.0	41.0	37.0	41.0
7	39.62049603660287	41.0	41.0	41.0	37.0	41.0
8	39.682386853980944	41.0	41.0	41.0	37.0	41.0
9	40.003284518855544	41.0	41.0	41.0	37.0	41.0
10-11	40.142523747787976	41.0	41.0	41.0	37.0	41.0
12-13	40.15484047763674	41.0	41.0	41.0	37.0	41.0
14-15	40.13940490113417	41.0	41.0	41.0	37.0	41.0
16-17	40.10434342865259	41.0	41.0	41.0	37.0	41.0
18-19	40.09076737421108	41.0	41.0	41.0	37.0	41.0
20-21	40.08004584640902	41.0	41.0	41.0	37.0	41.0
22-23	40.09452084793084	41.0	41.0	41.0	37.0	41.0
24-25	40.090936014481585	41.0	41.0	41.0	37.0	41.0
26-27	40.02666027290691	41.0	41.0	41.0	37.0	41.0
28-29	39.992308114894264	41.0	41.0	41.0	37.0	41.0
30-31	39.969303477367774	41.0	41.0	41.0	37.0	41.0
32-33	39.96323884945135	41.0	41.0	41.0	37.0	41.0
34-35	40.00611443750672	41.0	41.0	41.0	37.0	41.0
36-37	40.00076214609288	41.0	41.0	41.0	37.0	41.0
38-39	39.984075123871	41.0	41.0	41.0	37.0	41.0
40-41	39.97717404021291	41.0	41.0	41.0	37.0	41.0
42-43	39.95286987425318	41.0	41.0	41.0	37.0	41.0
44-45	39.907443042220834	41.0	41.0	41.0	37.0	41.0
46-47	39.912636191184205	41.0	41.0	41.0	37.0	41.0
48-49	39.914246557364024	41.0	41.0	41.0	37.0	41.0
50-51	39.90671737639127	41.0	41.0	41.0	37.0	41.0
52-53	39.86038781973656	41.0	41.0	41.0	37.0	41.0
54-55	39.86277927368444	41.0	41.0	41.0	37.0	41.0
56-57	39.83873305988246	41.0	41.0	41.0	37.0	41.0
58-59	39.82692462530021	41.0	41.0	41.0	37.0	41.0
60-61	39.807921052393	41.0	41.0	41.0	37.0	41.0
62-63	39.76909229118071	41.0	41.0	41.0	37.0	41.0
64-65	39.75655225463137	41.0	41.0	41.0	37.0	41.0
66-67	39.73758224788361	41.0	41.0	41.0	37.0	41.0
68-69	39.717374772322145	41.0	41.0	41.0	37.0	41.0
70-71	39.62745912591562	41.0	41.0	41.0	37.0	41.0
72-73	39.63341490665586	41.0	41.0	41.0	37.0	41.0
74-75	39.60265324840556	41.0	41.0	41.0	37.0	41.0
76-77	39.24244734430159	41.0	41.0	41.0	34.5	41.0
78-79	39.33441818944783	41.0	41.0	41.0	37.0	41.0
80-81	39.47853109521522	41.0	41.0	41.0	37.0	41.0
82-83	39.52015135207944	41.0	41.0	41.0	37.0	41.0
84-85	39.48544054343073	41.0	41.0	41.0	37.0	41.0
86-87	39.45073588677908	41.0	41.0	41.0	37.0	41.0
88-89	39.310284498564755	41.0	41.0	41.0	37.0	41.0
90-91	39.3298536234831	41.0	41.0	41.0	37.0	41.0
92-93	39.271254610220254	41.0	41.0	41.0	37.0	41.0
94-95	39.18810572886919	41.0	41.0	41.0	37.0	41.0
96-97	39.17341119818885	41.0	41.0	41.0	37.0	41.0
98-99	38.971714790393904	41.0	41.0	41.0	32.0	41.0
100-101	38.509940062279796	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2886948131171678
1101	2	-0.08931076184866171
1101	3	-0.1566647546081512
1101	4	-0.18834840550757548
1101	5	0.08188259919905505
1101	6	-0.15211892227856794
1101	7	-0.1727130356642661
1101	8	-0.1463274693980665
1101	9	-0.01330970347814997
1101	10-11	0.05957682788206853
1101	12-13	0.05048517713484557
1101	14-15	0.04581140802336847
1101	16-17	0.041884488481386484
1101	18-19	0.06399022801245735
1101	20-21	0.07172465832221775
1101	22-23	0.018720466736148467
1101	24-25	0.07070558945220995
1101	26-27	0.06952068084861907
1101	28-29	0.07521128835848145
1101	30-31	0.06767510864184345
1101	32-33	0.11042992216452063
1101	34-35	0.06474589279085308
1101	36-37	-0.007540636585616767
1101	38-39	0.0025975579333987753
1101	40-41	0.0010568505135708506
1101	42-43	-0.010409250654184632
1101	44-45	0.03220393228924223
1101	46-47	-0.0019483792250341025
1101	48-49	-0.03356827084270719
1101	50-51	0.032078621685784015
1101	52-53	0.08588290147268651
1101	54-55	0.004392813089026504
1101	56-57	0.012520874571478657
1101	58-59	0.05118650993451013
1101	60-61	0.06402693289773254
1101	62-63	0.06448965044753407
1101	64-65	0.04208369723035332
1101	66-67	0.11511705966584174
1101	68-69	0.031177473888718055
1101	70-71	0.10433026321015149
1101	72-73	0.10175405142822314
1101	74-75	0.04456751210280885
1101	76-77	0.1047292005667515
1101	78-79	0.19072931158390105
1101	80-81	0.2186563413946203
1101	82-83	0.18781933300294185
1101	84-85	0.18520246971201004
1101	86-87	0.16266159869999797
1101	88-89	0.262373323878073
1101	90-91	0.33568019283124784
1101	92-93	0.36878799951421826
1101	94-95	0.3545256412451323
1101	96-97	0.2734706755010876
1101	98-99	0.4844542038306088
1101	100-101	0.33077142918228475
1102	1	-0.19441234796418527
1102	2	-0.09785639657720324
1102	3	-0.0847030573970784
1102	4	-0.08356917777067707
1102	5	0.12943574211868736
1102	6	-0.15708472074935287
1102	7	-0.06926987939911555
1102	8	-0.07074153445940823
1102	9	-0.04710021095126393
1102	10-11	0.0706010764878684
1102	12-13	0.06735254737896668
1102	14-15	0.047066616650440096
1102	16-17	0.09514723331919583
1102	18-19	0.09570154851689949
1102	20-21	0.09482731063641836
1102	22-23	0.10141664924883997
1102	24-25	0.09354558801037882
1102	26-27	0.1352314737810545
1102	28-29	0.07891404559946835
1102	30-31	0.11478542644415057
1102	32-33	0.1010081968463794
1102	34-35	0.04116487841792349
1102	36-37	0.04327971210064163
1102	38-39	0.02343480368643469
1102	40-41	0.018627055321445596
1102	42-43	0.02304469855056368
1102	44-45	0.09501684853062642
1102	46-47	0.0539466145952332
1102	48-49	0.055294671006919316
1102	50-51	0.08234302039951302
1102	52-53	0.09255654414820924
1102	54-55	0.011519327825169512
1102	56-57	0.008223283824186467
1102	58-59	0.0592466881151168
1102	60-61	0.03552589742478318
1102	62-63	0.12217384578161017
1102	64-65	0.053670961633287106
1102	66-67	0.14447227880565094
1102	68-69	0.04588959564047457
1102	70-71	0.09811714604423116
1102	72-73	0.12410135562624447
1102	74-75	0.1412736052586112
1102	76-77	0.15668974116108814
1102	78-79	0.16693258174211678
1102	80-81	0.16214637001837673
1102	82-83	0.15877581275466213
1102	84-85	0.15547494754405733
1102	86-87	0.1443909241581096
1102	88-89	0.24472702171575378
1102	90-91	0.282724417225495
1102	92-93	0.3453120194123258
1102	94-95	0.29203945131332887
1102	96-97	0.2695402711503192
1102	98-99	0.45440581009820846
1102	100-101	0.35484659264398033
1103	1	-0.27399874445923444
1103	2	-0.036397797939841325
1103	3	-0.06525159444153417
1103	4	-0.02792065657084919
1103	5	0.1715152056942273
1103	6	0.04331306111862432
1103	7	0.014437799266225682
1103	8	-0.01618172403175322
1103	9	-0.0033687122038230655
1103	10-11	0.062435020262881835
1103	12-13	0.0867003523243497
1103	14-15	0.08547286468871818
1103	16-17	0.11881754568518943
1103	18-19	0.14521550076153034
1103	20-21	0.12813727925890106
